Naslov,Kategorija,Tekst
Varaždin pobijedio u derbiju: Navijači slavili cijelu noć,Nogomet,"Europski ambicije Gorica ostaju žive nakon pobjede nad Lokomotiva u 35. kolu. Reprezentativac Dominik Livaković još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Dominik Livaković nakon utakmice. Lokomotiva nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Ante Čulina vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Sljedeća utakmica Gorica na rasporedu je za tjedan dana, a Lokomotiva dočekuje rivala na svom terenu."
Mladi talent Rijeka oduševio skautere: Transfer pred vratima,Nogomet,"Trener Zlatko Dalić bio je vidljivo zadovoljan nastupom svoje momčadi koja je sigurnom igrom svladala Dinamo Zagreb. Utakmica je bila obilježena borbenim Football-om bez puno tehničke nadmoći. Oba trenera su taktički dobro pripremila momčadi, a razliku je napravila kvaliteta individualaca. Gorica je pokazao da je sposoban pobijediti i kada nije u najboljoj formi, što govori o mentalnoj jakosti ove momčadi. Posebno se istakao Dion Drena Beljo čije su igre bile ključne u kreativnom dijelu igre. 'Zadovoljan sam kako smo se borili, ali znam da moramo igrati bolje ako želimo veliku titulu', zaključio je Zlatko Dalić. Trener Zlatko Dalić naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
VK Mladost srušio favorite i iznenadio Europu,Vaterpolo,"Hrvatska vaterpolska reprezentacija priredila je pravo slavlje pobjedom nad Australija rezultatom 16:11. Posebno se istakao Marko Žuvela s nekoliko važnih pogodaka. Strateg hrvatske reprezentacije posebno je pohvalio obranu koja nije dopuštala lakim pogodcima. 'Kada branimo ovako kompaktno, teško nas je zabiti', rekao je. Marko Žuvela se posebno istaknuo u tranzicijama i predvodio je višestruke protunapade koji su rezultirali golovima. Publika je bila oduševljena visokim tempom igre i tehničkim vještinama obaju ekipa. Marko Žuvela: 'Nije bilo lako, ali znali smo da možemo. Idemo dalje!'"
NBA draft: Mladi Hrvat izabran u prvoj rundi,Košarka,"U spektakularnoj košarkaškoj večeri, Bulls je savladao Lakers rezultatom 109:119. Ključnu ulogu odigrao je Ivica Zubac koji je završio meč s 49 poena, 15 skokova i 6 asistencija. 'Znali smo da će biti teška utakmica, ali vjerovao sam u suigrače. Timska energija bila je nevjerojatna večeras', izjavio je Ivica Zubac nakon meča. Trener je pohvalio momčad za obrambenu disciplinu u završnici. Lakers je imao vode u trećoj četvrtini, ali serija poena domaćina preokrenula je tijek dvoboja. Posebno je oduševila suradnja između Ivica Zubac i suigrača na malom prostoru, koja je stvorio niz lakih koševa. Bulls nastavlja odličnu seriju i učvršćuje poziciju na ljestvici. Sljedeći dvoboj na rasporedu je za dva dana."
Simon Rožman progovorio o budućnosti: 'Ostajemo fokusirani na naslov',Nogomet,"Europski ambicije Dinamo Zagreb ostaju žive nakon pobjede nad Hajduk Split u 31. kolu. Reprezentativac Ivan Perišić još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Ivan Perišić nakon utakmice. Hajduk Split nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Patrik Pavlešić vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Sljedeća utakmica Dinamo Zagreb na rasporedu je za tjedan dana, a Hajduk Split dočekuje rivala na svom terenu."
Europa poziva: Osijek korak od povijesnog plasmana u skupinu,Nogomet,"U uzbudljivoj utakmici 24. kola HNL-a, Varaždin je na svom terenu svladao Istra rezultatom 3:3. Reprezentativac Dion Drena Beljo još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Dion Drena Beljo nakon utakmice. Istra nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Duje Strukan vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Nenad Bjelica naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Novi trener Šibenik: Ivaylo Petev potpisao dvogodišnji ugovor,Nogomet,"U uzbudljivoj utakmici 23. kola HNL-a, Slaven Belupo je na svom terenu svladao Varaždin rezultatom 1:2. Reprezentativac Marcelo Brozović još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Marcelo Brozović nakon utakmice. Varaždin nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Patrik Pavlešić vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Goran Tomić naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Ozljeda potresla Varaždin: Duje Ćaleta-Car izvan stroja tjednima,Nogomet,"Veliki derbi između Varaždin i Istra privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 3:3. Ključan pogodak postigao je Darijo Srna u 41. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Simon Rožman je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Istra je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Varaždin priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Trener Simon Rožman naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
VAR drama u HNL-u: Varaždin ostao bez pobjede u posljednjoj minuti,Nogomet,"Europski ambicije Hajduk Split ostaju žive nakon pobjede nad Istra u 8. kolu. Ključan pogodak postigao je Martin Erlic u 69. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Mario Kovačević je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Istra je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Hajduk Split priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Trener Mario Kovačević naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Gol Lovro Majer donio pobjedu Hajduk Split,Nogomet,"U uzbudljivoj utakmici 3. kola HNL-a, Hajduk Split je na svom terenu svladao Rijeka rezultatom 1:3. Utakmica je bila obilježena borbenim Football-om bez puno tehničke nadmoći. Oba trenera su taktički dobro pripremila momčadi, a razliku je napravila kvaliteta individualaca. Hajduk Split je pokazao da je sposoban pobijediti i kada nije u najboljoj formi, što govori o mentalnoj jakosti ove momčadi. Posebno se istakao Darijo Srna čije su igre bile ključne u kreativnom dijelu igre. 'Zadovoljan sam kako smo se borili, ali znam da moramo igrati bolje ako želimo veliku titulu', zaključio je Nenad Bjelica. Trener Nenad Bjelica naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
McGregor se vraća: Najavljuje veliki comeback,MMA,"Spektakularna večer MMA borbi u organizaciji PFL privukla je pažnju ljubitelja borilačkih sportova širom planeta. Glavna borba između Brandon Moreno i Francis Ngannou bila je pravi rat od prve do posljednje sekunde. Brandon Moreno je dominirao u prvim rundama zahvaljujući izvrsnoj udaračkoj tehnici. Trener iz kuta je savjetovao da pazi na obranu, a Francis Ngannou je bio spreman iskoristiti svaku grešku. 'Bio sam spreman na svaki scenarij', rekao je pobjednik. 'Trenirali smo specifično za ovu borbu i strategija je funkcionirala savršeno.' Navijači i stručnjaci slažu se — Brandon Moreno je spreman za borbu za naslov."
Verstappen dominira na VN Brazilu: Pobijedio s velikom razlikom,Formula 1,"U uzbudljivoj utrci na stazi u Singapuru, George Russell je pokazao zašto je jedan od najboljih vozača na rešetki. Pobijedio je s prednosti od 21.554 sekundi. Utrka je bila obilježena dramatičnim pitstopovima i taktičkim duelima. George Russell je izašao iz boksa na idealnoj poziciji i zadržao vodstvo sve do cilja. Momčad Aston Martin bila je besprijekorna u izvršavanju strategije. 'Cijela ekipa je radila sjajno, od inženjera do mehaničara — svi su zaslužni za ovu pobjedu', kazao je George Russell na podiju dok je šampanjac tekao. Ukupni poredak u Svjetskom prvenstvu je promijenjen, a sljedeća utrka je za dvije tjedne."
David Mandić potpisao za Montpellier: Novi izazov za reprezentativca,Rukomet,"U uzbudljivoj utakmici Europske rukometne lige, Barcelona je svladao Pick Szeged rezultatom 30:29. 'Marin Jelinić je danas igrao na nevjerojatnoj razini. Svaka njegova lopta bila je prijetnja, a obrana suparnika nije znala kako ga zaustaviti', hvalio je trener. Posebno su bili efektivni izlazi iz protunapada u kojima je hrvatska momčad pokazala svoju brzinu i tehničku preciznost. U obrani su bile rijetke pogreške, a vratar je bio pravi zid za suparničke šutere. Sljedeća utakmica na rasporedu je za sedam dana, a momčad se nada nastaviti ovakav niz."
Dario Šarić ispisao povijest: Ostvario nevjerojatne statistike,Košarka,"Uzbudljiva NBA utakmica između 76ers i Celtics pružila je navijačima pravu poslasticu. Pobijedio je 76ers sa 127:120, a junaka je opet imao u osobi Paul George. Analitičari su posebno pohvalili nastup Ivica Zubac koji je igrao s velikim srcem. 'On je igrač koji uvijek podiže razinu igre kada je to momčadi najpotrebnije', rekao je trener. Statistike su impresivne, ali pravi pokazatelj je kako je utjecao na ritam igre i postavio temelje za pobjedu. Navijači su bili oduševljeni i nagradili su ga dugim pljeskom. 76ers nastavlja odličnu seriju i učvršćuje poziciju na ljestvici. Sljedeći dvoboj na rasporedu je za dva dana."
Ivan Buljubašić predvodio Jadran do titule: Spektakularno slavlje,Vaterpolo,"VK Medvešćak nastavio je sjazan niz u Europskoj ligi pobijedivši rivala bez puno muke. Utakmica je bila obilježena izvanrednom atmosferom. Hrvatska je pokazala mentalnu snagu prelazeći teška trenutaka. Tin Brubnjak je bio kapetan terena, uvijek spreman preuzeti odgovornost u ključnim sekudama. 'Imamo sjajnu skupinu i svi znaju svoju ulogu. Sretni smo što je slavlje naše danas', zaključio je trener. Tin Brubnjak: 'Nije bilo lako, ali znali smo da možemo. Idemo dalje!'"
Zlatko Dalić progovorio o budućnosti: 'Ostajemo fokusirani na naslov',Nogomet,"Veliki derbi između Osijek i Lokomotiva privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 0:2. Ključan pogodak postigao je Lovro Majer u 32. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Goran Tomić je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Lokomotiva je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Osijek priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Sljedeća utakmica Osijek na rasporedu je za tjedan dana, a Lokomotiva dočekuje rivala na svom terenu."
Cibona u Euroligi? Projekt koji bi promijenio hrvatsku košarku,Košarka,"Hrvatski reprezentativac Krešimir Ćosić još jednom je pokazao svoju klasu u NBA utakmici. Završio je s impresivnih 44 poena dok je njegova momčad slavila. Meč je bio obilježen izvanrednom atmosferom u dvorani. Celtics je od prve četvrtine pokazao da je spreman za pobjedu. Obrana je bila na iznimno visokoj razini, što je onemogućilo Pistons da ostvari svoju igru u napadu. U završnici su hladnokrvno izveli ključne poteze i osigurali vrijednu pobjedu na domaćem parketu. Ova pobjeda Celtics-u otvara vrata doigravanje, što je bio glavni cilj ove sezone."
Hrvatski košarkaši slavili na Eurobasketu: Pobjeda koja je oduševila naciju,Košarka,"Hrvatski reprezentativac Bojan Bogdanović još jednom je pokazao svoju klasu u NBA utakmici. Završio je s impresivnih 54 poena dok je njegova momčad slavila. 'Znali smo da će biti teška utakmica, ali vjerovao sam u suigrače. Timska energija bila je nevjerojatna večeras', izjavio je Luka Dončić nakon meča. Trener je pohvalio momčad za obrambenu disciplinu u završnici. Bucks je imao vode u trećoj četvrtini, ali serija poena domaćina preokrenula je tijek dvoboja. Posebno je oduševila suradnja između Luka Dončić i suigrača na malom prostoru, koja je stvorio niz lakih koševa. Bojan Bogdanović nakon utakmice: 'Ovo je posebna noć za mene i cijelu ekipu. Idemo dalje, još nam je puno posla pred sobom.'"
Donna Vekić iznenadila: Pobjeda nad Top 10 igračicom u tri seta,Tenis,"Holger Rune je na turniru Davis Cupu ostvario važnu pobjedu nad Jannik Sinner (7:5, 7:7). 'Holger Rune je igrao nevjerojatan tenis. Svaki servis, svaki return, svaki bekhend — sve je bilo na vrhunskoj razini', rekao je komentator. Jannik Sinner je u drugom setu pokazao borc duh i smanjio prednost, ali Holger Rune nije dopustio preokret. 'Morao sam ostati smiren i igrati svoju igru. Protivnik je bio izvanredan, ali vjerovao sam u sebe', izjavio je pobjednik. Pohvale su stigle i od strane bivših šampiona koji su pratili meč iz komentatorkse kabine. Teniska zajednica prati s oduševljenjem ovaj sjajni turnir."
Europa poziva: Hajduk Split korak od povijesnog plasmana u skupinu,Nogomet,"Veliki derbi između Šibenik i Lokomotiva privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 2:3. Reprezentativac Ivo Grbić još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Ivo Grbić nakon utakmice. Lokomotiva nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Patrik Pavlešić vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Ivaylo Petev naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Ante Vrlić postigao hat-trick: Hrvatska svladala Crna Gora,Vaterpolo,"Uzbudljiva utakmica vaterpolskog turnira završila je pobjedom hrvatskih igrača. Marko Žuvela je bio ključan u napadu i ponovo dokazao zašto je jedan od najcjenjenijih igrača na ovoj poziciji. Strateg hrvatske reprezentacije posebno je pohvalio obranu koja nije dopuštala lakim pogodcima. 'Kada branimo ovako kompaktno, teško nas je zabiti', rekao je. Marko Žuvela se posebno istaknuo u tranzicijama i predvodio je višestruke protunapade koji su rezultirali golovima. Publika je bila oduševljena visokim tempom igre i tehničkim vještinama obaju ekipa. Marko Žuvela: 'Nije bilo lako, ali znali smo da možemo. Idemo dalje!'"
Atletico Madrid zainteresiran za Dominik Livaković: Cijena raste,Nogomet,"U uzbudljivoj utakmici 5. kola HNL-a, Rijeka je na svom terenu svladao Varaždin rezultatom 0:1. Ključan pogodak postigao je Gabrijel Vidović u 88. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Ivaylo Petev je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Varaždin je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Rijeka priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Sljedeća utakmica Rijeka na rasporedu je za tjedan dana, a Varaždin dočekuje rivala na svom terenu."
Dion Drena Beljo debitirao za reprezentaciju: 'Bio sam jako nervozan',Nogomet,"U uzbudljivoj utakmici 11. kola HNL-a, Dinamo Zagreb je na svom terenu svladao Slaven Belupo rezultatom 0:3. Reprezentativac Tin Jedvaj još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Tin Jedvaj nakon utakmice. Slaven Belupo nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Patrik Pavlešić vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Dinamo Zagreb nastavlja dobru formu i ostaje u vrhu ljestvice, dok Slaven Belupo mora hitno popraviti igru."
Hrvatska rukomet reprezentacija: Dalić najavio nova lica za Europsko,Rukomet,"Hrvatska rukometna reprezentacija odigrala je sjajnu utakmicu i slavila sigurnom pobjedom. Predvodio ih je David Mandić s 9 pogodaka koji je bio neustavljiv za suparničku obranu. Utakmica je bila obilježena velikom atmosferom u dvorani i izvanrednim borilačkim duhom obiju ekipa. David Mandić je preuzeo odgovornost u ključnim trenucima kada je momčad trebala pogotke. Trener je naglasio zadovoljstvo kolektivnim pristupom: 'Svi su dali maksimum. Ovo je pravi tim koji zna što želi.' Trener je pohvalio momčad, ali naglasio da ima prostora za napredak prije sljedećeg izazova."
Đoković progovorio: 'Ovo je bila jedna od najtežih utakmica karijere',Tenis,"Donna Vekić nastavlja sjajan nastup na turniru i prošla je u sljedeći krug zahvaljujući izvanrednoj igri. Meč je bio obilježen izvanrednim returnerskim igrama i dugim izmjenama. Stan Wawrinka je posebno bio napadan u napadu, rješavajući teške lopte s lakoćom koja je oduševila publiku. Navijači u tribinama stvorili su nevjerojatnu atmosferu, a Stan Wawrinka je povremeno tražio energiju od gledatelja. U presudnim trenucima meča pokazao je mentalnu snagu koja ga krasi. Teniska zajednica prati s oduševljenjem ovaj sjajni turnir."
"Velika senzacija u NBA-u: Heat eliminiran, Chris Paul u suzama",Košarka,"Hrvatski reprezentativac Roko Prkačin još jednom je pokazao svoju klasu u NBA utakmici. Završio je s impresivnih 21 poena dok je njegova momčad slavila. Analitičari su posebno pohvalili nastup Roko Prkačin koji je igrao s velikim srcem. 'On je igrač koji uvijek podiže razinu igre kada je to momčadi najpotrebnije', rekao je trener. Statistike su impresivne, ali pravi pokazatelj je kako je utjecao na ritam igre i postavio temelje za pobjedu. Navijači su bili oduševljeni i nagradili su ga dugim pljeskom. Pacers nastavlja odličnu seriju i učvršćuje poziciju na ljestvici. Sljedeći dvoboj na rasporedu je za dva dana."
Casper Ruud u polufinalu Mastersu u Madridu: Spektakularan meč,Tenis,"Uzbudljiv meč na Roland Garros privukao je pažnju teniskih ljubitelja diljem svijeta. Rafael Nadal je slavio protiv Tommy Paul u dramatičnom dvoboju. 'Rafael Nadal je igrao nevjerojatan tenis. Svaki servis, svaki return, svaki bekhend — sve je bilo na vrhunskoj razini', rekao je komentator. Tommy Paul je u drugom setu pokazao borc duh i smanjio prednost, ali Rafael Nadal nije dopustio preokret. 'Morao sam ostati smiren i igrati svoju igru. Protivnik je bio izvanredan, ali vjerovao sam u sebe', izjavio je pobjednik. Pohvale su stigle i od strane bivših šampiona koji su pratili meč iz komentatorkse kabine. Rafael Nadal je sada u polufinalu i nastavlja borbu za naslov."
Mladi talent Gorica oduševio skautere: Transfer pred vratima,Nogomet,"Europski ambicije Gorica ostaju žive nakon pobjede nad Dinamo Zagreb u 2. kolu. Utakmica je bila obilježena borbenim Football-om bez puno tehničke nadmoći. Oba trenera su taktički dobro pripremila momčadi, a razliku je napravila kvaliteta individualaca. Gorica je pokazao da je sposoban pobijediti i kada nije u najboljoj formi, što govori o mentalnoj jakosti ove momčadi. Posebno se istakao Ante Budimir čije su igre bile ključne u kreativnom dijelu igre. 'Zadovoljan sam kako smo se borili, ali znam da moramo igrati bolje ako želimo veliku titulu', zaključio je Nenad Bjelica. Gorica nastavlja dobru formu i ostaje u vrhu ljestvice, dok Dinamo Zagreb mora hitno popraviti igru."
